Übung,top wiederholungen,top Gewicht(Summe),,
Trizeps kabel ,15,"17,5",,
butterfly maschine ,12,59,,
rückenstrecker ,15,85,,
Trizeps Dips ,10,85,,
Bizeps SZ ,10,15,,
seitheben vorgebeugt ,12,"8,5",,
,,,,
butterfly maschine ,12,66,26.10.2026,
rudern kabel ,12,75,,
Trizeps kabel ,12,"17,5",,
latziehen kabel ,8,60,,
Scott curls ,12,10,pro hand,
,,,,
latziehen kabel ,10,60,28.10.2025,
butterfly maschine ,10,66,,
Trizeps kabel ,15,"17,5",,
rückenstrecker,15,85,,
Trizeps Dips ,10,85,,
Bizeps maschine,12,40,Schätzwert ,
rotatoren,,,,
,,,,
butterfly maschine ,10,73,02.11.2025,
rudern kabel ,12,70,,
rückenstrecker ,15,85,,
latziehen kabel ,10,60,,
Bizeps SZ ,12,15,,
,,,,
latziehen kabel,8,65,05.11.2025,
rudern kabel,10,70,,
Trizeps Dips ,10,85,heute war's einfacher,
Hammer curls ,10,12,pro hand,
rückenstrecker ,15,85,,
leg curls,,,,
butterfly maschine ,12,59,,
,,,,
rudern kabel,12,70,07.11.2025,
latziehen kabel,8,65,letzter satz,
Trizeps kabel,15,"17,5",,
Bizeps SZ ,12,15,,
upper back maschine,12,40,,
,,,,
,,,,
latziehen kabel ,7,65,10.11.2025,
upper back maschine,12,45,,
Trizeps kabel ,12,20,,
rückenstrecker,15,85,,
butterfly maschine,12,50,,
Bizeps ,12,15,,
,,,,
latziehen kabel ,8,65,15.11.2025,
Trizeps kabel ,12,20,,
butterfly maschine ,12,59,,
butterfly reverse maschine,12,50,,
rückenstrecker,18,85,,
preacher machine,10,50,,
,,,,
latziehen kabel ,8,65,26.11.2025,
Trizeps kabel ,12,20,,
butterfly maschine ,12,59,,
butterfly reverse maschine,12,50,,
rückenstrecker,18,85,,
preacher machine,10,50,,
,,,,
latziehen kabel ,8,65,30.11.2025,
Trizeps kabel ,12,20,,
butterfly maschine ,12,59,,
butterfly reverse maschine,12,50,,
rückenstrecker,18,85,,
preacher machine,10,50,,
,,,,
butterfly reverse ,10,44,06.12.2025,
latziehen kabel ,6,70,,
Trizeps kabel ,12,20,,
rückenstrecker ,18,85,,
rudern Maschine ,10,70,,
,,,,
latziehen kabel ,7,75,08.12.2025,
Trizeps kabel ,12,20,,
rückenstrecker ,18,85,,
butterfly reverse,12,44,,
rudern kabel,10,70,,
preacher machine ,10,15,,
,,,,
butterfly reverse ,12,52,10.12.2025,
latziehen kabel ,7,75,,
Trizeps kabel ,12,"17,5",,
rückenstrecker,18,85,,
rudern kabel ,10,70,,
Scott curls ,10,15,,
,,,,
latziehen kabel ,8,70,12.12.2025,
butterfly reverse ,10,59,,
Trizeps kabel,12,20,,
rudern maschine,12,70,,
beinstrecker,12,60,,
beinbeuger ,12,60,,
bauchmaschine,10,90,,
brustpresse,10,50,,
,,,,
winterpause,,,,
,,,,
butterfly maschine ,12,52,13.01.2026,
rudern kabel,12,60,,
Trizeps kabel,12,"17,5",,
latziehen kabel ,10,59,Scheißmaschine ,
,,,,
butterfly reverse,10,52,16.01.2026,
brustpresse,12,55,,
latziehen kabel ,8,65,,
Trizeps kabel ,12,"17,5",,
Bizeps sz,12,15,,
seitheben vorgebeugt ,12,"8,5",,
,,,,
latziehen kabel,10,70,18.01.2026,
brustpresse,12,60,,
Trizeps kabel ,10,20,,
rudern kabel,,,,
Bizepsmaschine ,,,,
,,,,
squats ,12,40,21.01.2026,
brustpresse,10,70,,
latziehen kabel ,9,65,,
seitheben vorgebeugt ,,,,
butterfly maschine,8,52,,
bauch,,,,
,,,,
squats ,12,40,24.01.2026,
brustpresse,10,70,,
latziehen kabel ,9,65,,
seitheben vorgebeugt ,,,,
butterfly maschine,8,52,,
bauch,,,,
,,,,
brustpresse,,75,30.01.2026,
latziehen kabel ,6,75,,
face pull machine ,10,50,,
Trizeps kabel ,12,20,,
seitheben vorgebeugt ,10,10,,
dehnen,,,,
,,,,
latziehen kabel ,7,75,,
brustpresse,12,70,,
Trizeps kabel ,,,,
butterfly maschine ,,,,
,,,,
Latziehen Kabel,,,28.02.2026,
Brustpresse,,,,
,,,,
,,,,
,,,,
Latziehen Kabel ,10,60,06.03.2026,
Brudtpresse,12,55,,
Triceps kabel,15,15,,
Beinbeuger ,,55,,
Beinstrecker,12,50,,
Seitheben vorgebeugt,10,10,,
,,,,
Latziehen Kabel,10,65,10.03.2026,
Brustpresse,12,65,,
Seitheben vorgebeugt,10,10,,
,,,,
,,,,
,,,,
Butterfly Reverse ,8,59,13.03.2026,
,,,,
,,,,
,,,,
,,,,
,,,,
Latziehen Kabel,6,70,18.03.2026,
Brustpresse ,12,70,,
Beinbeuger,12,55,,
Beinstrecker,12,55,,
Wadenpresse,,,,
Seitheben vorgebeugt,12,9,,
Triceps kabel,,"17,5",,
,,,,
Latziehen Kabel,6,70,10.05.2026,
Brustpresse ,12,70,,
Beinbeuger,12,55,,
Beinstrecker,12,55,,
Wadenpresse,,,,
Seitheben vorgebeugt,12,9,,
Triceps kabel,,"17,5",,
,,,,
Bankdrücken,12,50,,
Latziehen Kabel,,,,
